ID,스토리 넘버,스토리 내용
1,프롤로그,눈을 떴을 때에는 사방이 암흑이었다. 손목 시계를 보니 새벽 2시.
,,내일 있는 전공 시험을 준비하기 위해 새벽까지 과방에서 공부를 하고 있다가 잠들었나보다.
,,...
,,과방 문은 잠겨있어 열리지 않는다.
,,핸드폰은 배터리가 꺼져 있어 연락할 방법이 없다.
,,밖은 비가 오는지 폭풍우 소리가 들린다.
,,내일 아침 9시에 시험이 있는데.. 그 전까지 정보섬을 탈출할 수 있을까?
2,게임시작,우선 과방을 나갈 방법을 찾아야 할 거 같다. 과방을 둘러보자.
3,스토리1,책상 위에 올려져 있는 물건들을 찾아보다 포스트잇을 발견했다. 
,,그러나 어두워서 포스트잇에 적힌 글씨는 잘 보이지 않는다. 
4,스토리2,책상 맞은편에 있는 냉장고에 가보았다.
,,냉장고 문을 열자 불빛이 들어온다.
,,냉장고 안에서 배터리를 발견했다.
,,냉장고 불빛이 약하긴 하지만 내가 가지고 있는 것들 중 하나를 이 불빛에 비춰 볼 수 있을 거 같다.
,,어떤 걸 선택할까?
